Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L)
20250206-C,Playa los Chilcos,Villarrica,"22,35","8,81","189,6","112,9","9,42",61,59,31,"0,2",23,"14,305",1,2,0,0,0,"0,027"
20250206-D,Playa Linda,Villarrica,"25,85","8,56","211,1","103,1","8,75",60,57,30,"2,3","22,14","14,305",1,2,0,1,0,"0,026"
20250206-E,Playa Pucará,Villarrica,"25,81","8,71","203,9",103,"8,68",59,56,29,"11,4","22,47","14,306",1,1,0,1,0,"0,033"
20250207-A,Playa Grande,Pucón,"21,56","8,02","249,4","102,5","8,72",53,50,27,"0,4","21,83","14,253",2,1,0,0,0,"0,031"
20250207-B,Playa Carmelito,Pucón,"24,8","8,57","218,5","106,7","8,94",45,43,22,"0,2","22,69","14,281",0,2,1,0,0,"0,028"
20250207-C,Playa los Chilcos,Villarrica,"25,94","8,65","230,6","103,8","8,73",43,41,22,0,"22,54","14,296",0,1,2,0,0,"0,029"
20250207-D,Playa Linda,Villarrica,"23,35","8,6","220,2","97,9","8,25",43,41,21,0,"22,47","14,296",0,2,0,2,0,"0,024"
20250207-E,Playa Pucará,Villarrica,"26,18","8,61","218,2","111,8","9,27",44,42,22,"10,7","23,21","14,282",0,2,0,1,0,"0,025"
20250210-A ,Playa Grande,Pucón,"19,35","7,87","257,3","92,2","7,88",47,44,23,"1,1","21,75","14,32",1,0,0,0,0,"0,033"
20250210-B,Playa Carmelito,Pucón,"22,24","8,49","234,5","101,3","8,38",38,37,19,"0,5","23,46","14,312",3,3,0,1,0,"0,024"
20250210-C,Playa los Chilcos,Villarrica,"20,48","8,87","210,7","100,4","8,49",39,37,19,"0,2","22,4","14,324",3,2,0,1,0,"0,023"
20250210-D,Playa Linda,Villarrica,"25,43","8,69","209,1","114,3","9,74",38,36,19,0,22,"14,34",3,3,0,0,0,"0,024"
20250210-E,Playa Pucará,Villarrica,"23,07","8,81","204,5","96,3","8,26",38,36,19,8,"21,65","14,33",1,1,0,0,0,"0,028"
20250211-A,Playa Grande,Pucón,"17,83","8,34","222,2","98,3","8,4",41,38,20,"0,1","21,7","14,292",2,2,0,0,0,"0,024"
20250211-B,Playa Carmelito,Pucón,"20,01","8,59","227,4","100,4","8,33",39,37,19,"0,4","23,21","14,291",2,2,0,1,0,"0,117"
20250211-C,Playa los Chilcos,Villarrica,"18,71","8,61","174,2",88,"7,33",31,30,16,"0,5","23,12","14,316",2,2,0,1,0,"0,025"
20250211-D ,Playa Linda,Villarrica,"24,15","8,64","197,3","102,4","8,64",35,33,18,0,"22,37","14,298",2,2,0,1,0,"0,024"
20250211-E,Playa Pucará,Villarrica,"22,19","8,76","208,8","101,5","8,75",37,35,19,"7,6","21,28","14,3",1,1,0,1,0,"0,025"
20250211-F,Playa El Plata,Pucón,"23,17","8,54","232,9","94,7","8,05",37,35,19,0,"21,97","14,287",3,3,0,0,0,"0,031"
20250212-A,Playa Grande,Pucón,"18,2","7,77","236,3","82,9","7,1",72,67,36,"0,3","21,59","14,291",1,2,0,0,0,"0,01"
20250212-B,Playa Carmelito,Pucón,"18,8","8,42","240,6","99,6","8,42",63,60,32,"0,1","22,23","14,286",0,0,0,1,0,"0,01"
20250212-C,Playa los Chilcos,Villarrica,"21,1","8,32","239,5","109,9","9,22",62,59,31,"0,2","22,63","14,285",0,0,0,1,0,"0,013"
20250212-D,Playa Linda,Villarrica,"21,26","8,7","197,8","108,8","9,24",64,60,32,"0,2","22,03","14,295",1,1,0,0,0,"0,019"
20250212-E,Playa Pucará,Villarrica,"22,02","8,13",248,"98,4","8,48",64,60,32,"7,1","21,26","14,3",0,0,0,1,0,"0,006"
20250213-A,Playa Grande,Pucón,"16,5","7,95","251,3","89,7","7,71",73,68,37,"0,03","21,39","14,288",1,1,0,0,0,"0,013"
20250213-B,Playa Carmelito,Pucón,"22,53","8,56",229,"98,8","8,34",59,56,30,0,"22,36","14,297",2,2,1,1,0,"0,007"
20250213-C,Playa los Chilcos,Villarrica,"24,59","8,66","177,7","105,1","8,83",61,58,30,"0,2","22,68","14,311",2,1,3,1,0,"0,018"
20250213-D,Playa Linda,Villarrica,"20,33","8,87",153,"93,8","7,93",59,56,30,"0,2","22,34","14,313",0,0,2,0,0,"0,025"
20250213-E,Playa Pucará,Villarrica,"23,13","8,6","203,3","105,7","8,85",60,57,30,"10,7","22,77","14,301",0,0,0,1,0,"0,025"
20250214-A,Playa Grande,Pucón,"17,72","8,17","248,6","89,1","7,67",53,49,26,"0,5","21,35","14,308",0,0,0,0,1,"0,006"
20250214-B,Playa Carmelito,Pucón,"18,94","8,46","220,1","96,8","8,16",46,44,23,"0,02","22,48","14,305",0,0,3,0,0,"0,004"
20250214-C,Playa los Chilcos,Villarrica,"20,27","8,51","185,8","99,2","8,56",51,48,24,"0,2","21,82","14,308",2,0,3,1,0,"0,005"
20250214-D,Playa Linda,Villarrica,"20,72","9,13","168,4","112,4","9,52",50,47,25,"0,3","22,08","14,315",0,0,0,3,0,"0,003"
20250214-E,Playa Pucará,Villarrica,"20,83","8,6","177,3","108,3","9,15",47,44,23,"4,7","22,36","14,314",2,0,0,1,0,"0,005"
20250217-A,Playa Grande,Pucón,"18,35","8,3","216,8","96,1","8,35",52,48,26,"0,6","20,98","14,323",3,2,0,0,0,"0,007"
20250217-B,Playa Carmelito,Pucón,"21,32","8,76","214,9","112,3","9,65",43,41,22,"0,2","21,6","14,334",1,1,0,0,0,"0,005"
20250217-C,Playa los Chilcos,Villarrica,"20,63","8,47","195,4",94,"8,1",43,40,22,0,"21,47","14,352",1,1,0,0,0,"0,006"
20250217-D,Playa Linda,Villarrica,"25,03","9,17","194,2","117,5","10,09",44,41,22,"0,1","21,66","14,347",1,1,0,1,0,"0,007"
20250217-E,Playa Pucará,Villarrica,"23,28","8,72","197,4","95,8","8,26",43,40,21,"2,2","21,45","14,353",1,2,0,1,0,"0,006"
20250218-A,Playa Grande,Pucón,"21,23","8,38","244,5","110,9","9,57",42,39,21,"0,02","21,13","14,277",1,2,0,0,1,"0,009"
20250218-B,Playa Carmelito,Pucón,"23,94","8,59",213,"109,2","9,28",37,35,18,"0,1","21,96","14,283",1,1,0,0,0,"0,007"
20250218-C,Playa los Chilcos,Villarrica,"20,8","8,47","215,4","92,5","7,81",39,37,19,0,"22,28","14,285",1,1,0,0,0,"0,006"
20250218-D,Playa Linda,Villarrica,"23,28","9,39",191,"144,2","12,14",40,38,20,"0,2","22,42","14,282",1,1,0,1,0,"0,01"
20250218-E,Playa Pucará,Villarrica,"25,48","8,63","203,5","104,1","8,92",39,37,20,"8,3","21,55","14,283",1,1,0,1,0,"0,01"
20250219-A,Playa Grande,Pucón,"18,7","7,58",237,"92,4","7,95",55,51,27,"0,3","21,11","14,241",1,1,0,0,2,"0,007"
20250219-B,Playa Carmelito,Pucón,"21,98","8,3","227,5","101,5","8,55",49,46,24,"1,4","22,27","14,255",1,2,0,1,0,"0,006"
